date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 13:11:00,171.52,171.6269,171.42,171.59,43061.0
2020-04-28 13:12:00,171.59,171.6377,171.54,171.63,32290.0
2020-04-28 13:13:00,171.61,171.69,171.55,171.6475,40596.0
2020-04-28 13:14:00,171.66,171.67,171.59,171.6,28257.0
2020-04-28 13:15:00,171.61,171.61,171.297,171.4034,66291.0
2020-04-28 13:16:00,171.42,171.53,171.412,171.45,44892.0
2020-04-28 13:17:00,171.45,171.5,171.4,171.4,24753.0
2020-04-28 13:18:00,171.4,171.44,171.25,171.2698,34281.0
2020-04-28 13:19:00,171.27,171.35,171.27,171.345,28877.0
2020-04-28 13:20:00,171.35,171.41,171.31,171.36,25537.0
2020-04-28 13:21:00,171.365,171.58,171.365,171.5101,35518.0
2020-04-28 13:22:00,171.5,171.52,171.37,171.425,30871.0
2020-04-28 13:23:00,171.44,171.59,171.44,171.56,24236.0
2020-04-28 13:24:00,171.5704,171.59,171.46,171.48,20885.0
2020-04-28 13:25:00,171.48,171.55,171.4323,171.495,22401.0
2020-04-28 13:26:00,171.4762,171.57,171.4,171.44,25747.0
2020-04-28 13:27:00,171.44,171.47,171.38,171.42,21825.0
2020-04-28 13:28:00,171.4101,171.47,171.4,171.429,21063.0
2020-04-28 13:29:00,171.42,171.47,171.375,171.4,15631.0
2020-04-28 13:30:00,171.4,171.455,171.3,171.355,52868.0
2020-04-28 13:31:00,171.355,171.5,171.29,171.33,50550.0
2020-04-28 13:32:00,171.3301,171.43,171.3301,171.38,28282.0
2020-04-28 13:33:00,171.39,171.48,171.3899,171.45,24727.0
2020-04-28 13:34:00,171.4398,171.445,171.2,171.2,60402.0
2020-04-28 13:35:00,171.2199,171.35,171.205,171.215,29094.0
2020-04-28 13:36:00,171.23,171.28,171.11,171.2501,36739.0
2020-04-28 13:37:00,171.24,171.32,171.12,171.16,34871.0
2020-04-28 13:38:00,171.16,171.34,171.16,171.31,44587.0
2020-04-28 13:39:00,171.31,171.47,171.31,171.38,35140.0
2020-04-28 13:40:00,171.39,171.43,171.28,171.3,22814.0
2020-04-28 13:41:00,171.29,171.44,171.24,171.44,27419.0
2020-04-28 13:42:00,171.43,171.43,171.25,171.285,27698.0
2020-04-28 13:43:00,171.28,171.37,171.22,171.2505,55686.0
2020-04-28 13:44:00,171.26,171.47,171.25,171.47,33045.0
